storm_id,storm_name,year,time,storm_type,lat,lon,wind_kt,pressure_mb,dist_norfolk_deg,category,is_landfall,landfall_state
AL011986,ANDREW,1986,1986-06-05 00:00:00+00:00,SD,26.2,-75.8,30,1007.0,10.676853822210651,TD,0,
AL011986,ANDREW,1986,1986-06-05 06:00:00+00:00,SD,27.4,-76.0,30,1006.0,9.469775782809084,TD,0,
AL011986,ANDREW,1986,1986-06-05 12:00:00+00:00,SD,28.4,-76.4,30,1005.0,8.465345692217241,TD,0,
AL011986,ANDREW,1986,1986-06-05 18:00:00+00:00,SD,29.1,-77.0,30,1003.0,7.786425457698875,TD,0,
AL011986,ANDREW,1986,1986-06-06 00:00:00+00:00,TS,29.7,-77.5,35,1002.0,7.233678641556716,TS,0,
AL011986,ANDREW,1986,1986-06-06 06:00:00+00:00,TS,30.2,-77.8,40,1003.0,6.779671439645444,TS,0,
AL011986,ANDREW,1986,1986-06-06 12:00:00+00:00,TS,30.7,-78.0,45,1005.0,6.322841431325476,TS,0,
AL011986,ANDREW,1986,1986-06-06 18:00:00+00:00,TS,31.4,-77.9,45,1004.0,5.62016310324467,TS,0,
AL011986,ANDREW,1986,1986-06-07 00:00:00+00:00,TS,31.9,-77.8,45,1003.0,5.113216240087368,TS,0,
AL011986,ANDREW,1986,1986-06-07 06:00:00+00:00,TS,32.8,-76.9,45,1001.0,4.087974150737521,TS,0,
AL011986,ANDREW,1986,1986-06-07 12:00:00+00:00,TS,33.6,-76.0,45,999.0,3.264339261216141,TS,0,
AL011986,ANDREW,1986,1986-06-07 18:00:00+00:00,TS,34.3,-75.0,45,1000.0,2.7621781829836602,TS,0,
AL011986,ANDREW,1986,1986-06-08 00:00:00+00:00,TS,35.2,-73.9,45,1002.0,2.545700926971647,TS,0,
AL011986,ANDREW,1986,1986-06-08 06:00:00+00:00,TS,36.3,-72.7,45,1002.0,2.9400019317075547,TS,0,
AL011986,ANDREW,1986,1986-06-08 12:00:00+00:00,TS,37.9,-71.0,40,1002.0,4.339917669707854,TS,0,
AL011986,ANDREW,1986,1986-06-08 18:00:00+00:00,TS,39.6,-68.9,35,1001.0,6.4323171688802026,TS,0,
AL011988,ALBERTO,1988,1988-08-05 18:00:00+00:00,TD,32.0,-77.5,20,1015.0,4.960183561329786,TD,0,
AL011988,ALBERTO,1988,1988-08-06 00:00:00+00:00,TD,32.8,-76.2,20,1014.0,4.057786503329646,TD,0,
AL011988,ALBERTO,1988,1988-08-06 06:00:00+00:00,TD,34.0,-75.2,20,1013.0,2.990372985566103,TD,0,
AL011988,ALBERTO,1988,1988-08-06 12:00:00+00:00,TD,35.2,-74.6,25,1012.0,2.146255252562355,TD,0,
AL011988,ALBERTO,1988,1988-08-06 18:00:00+00:00,TD,37.0,-73.5,25,1011.0,2.239271730538955,TD,0,
AL011988,ALBERTO,1988,1988-08-07 00:00:00+00:00,TD,38.7,-72.4,25,1009.0,3.5941802745676514,TD,0,
