auc_roc,avg_precision,ri_recall,ri_precision,ri_f1,tn,fp,fn,tp,method,train_size,seed,n_pos_train
0.671,0.0921,0.0714,0.08,0.0755,451,23,26,2,SVM,50,0,3
0.6402,0.0817,0.7143,0.0858,0.1533,261,213,8,20,SVM+ (LUQPI),50,0,3
0.6132,0.2879,0.3214,0.3,0.3103,453,21,19,9,SVM,50,1,3
0.6343,0.2857,0.3571,0.0625,0.1064,324,150,18,10,SVM+ (LUQPI),50,1,3
0.6275,0.0743,0.0,0.0,0.0,419,55,28,0,SVM,50,2,3
0.6299,0.075,0.2857,0.0656,0.1067,360,114,20,8,SVM+ (LUQPI),50,2,3
0.5708,0.0635,0.0,0.0,0.0,456,18,28,0,SVM,50,3,3
0.5899,0.0716,0.4286,0.0649,0.1127,301,173,16,12,SVM+ (LUQPI),50,3,3
0.743,0.1165,0.1786,0.098,0.1266,428,46,23,5,SVM,50,4,3
0.769,0.1311,0.8929,0.1185,0.2092,288,186,3,25,SVM+ (LUQPI),50,4,3
0.7238,0.3187,0.3214,0.1452,0.2,421,53,19,9,SVM,50,5,3
0.7239,0.3188,0.6071,0.0854,0.1498,292,182,11,17,SVM+ (LUQPI),50,5,3
0.5544,0.0627,0.0357,0.0435,0.0392,452,22,27,1,SVM,50,6,3
0.5706,0.0637,0.6429,0.08,0.1423,267,207,10,18,SVM+ (LUQPI),50,6,3
0.7294,0.1243,0.1071,0.1034,0.1053,448,26,25,3,SVM,50,7,3
0.6306,0.087,0.5714,0.0773,0.1362,283,191,12,16,SVM+ (LUQPI),50,7,3
0.6741,0.2011,0.25,0.1167,0.1591,421,53,21,7,SVM,50,8,3
0.6745,0.1958,0.6429,0.0783,0.1395,262,212,10,18,SVM+ (LUQPI),50,8,3
0.6166,0.1229,0.1071,0.1,0.1034,447,27,25,3,SVM,50,9,3
0.6274,0.1729,0.6071,0.096,0.1659,314,160,11,17,SVM+ (LUQPI),50,9,3
0.6805,0.1217,0.1786,0.1429,0.1587,444,30,23,5,SVM,100,0,6
0.677,0.1568,0.5714,0.1127,0.1882,348,126,12,16,SVM+ (LUQPI),100,0,6
0.7172,0.1148,0.1786,0.1613,0.1695,448,26,23,5,SVM,100,1,6
0.7524,0.118,0.8214,0.1217,0.212,308,166,5,23,SVM+ (LUQPI),100,1,6
0.8338,0.2899,0.3571,0.2326,0.2817,441,33,18,10,SVM,100,2,6
0.8222,0.2658,0.8571,0.1116,0.1975,283,191,4,24,SVM+ (LUQPI),100,2,6
0.6939,0.21,0.2857,0.25,0.2667,450,24,20,8,SVM,100,3,6
0.7265,0.2763,0.6071,0.1056,0.1799,330,144,11,17,SVM+ (LUQPI),100,3,6
0.5245,0.0565,0.0,0.0,0.0,462,12,28,0,SVM,100,4,6
0.4874,0.0513,0.5357,0.0573,0.1034,227,247,13,15,SVM+ (LUQPI),100,4,6
0.4866,0.0524,0.0,0.0,0.0,441,33,28,0,SVM,100,5,6
0.6566,0.0781,0.6071,0.0966,0.1667,315,159,11,17,SVM+ (LUQPI),100,5,6
0.73,0.1169,0.1786,0.1562,0.1667,447,27,23,5,SVM,100,6,6
0.7231,0.1192,0.6071,0.0977,0.1683,317,157,11,17,SVM+ (LUQPI),100,6,6
0.5026,0.0549,0.0,0.0,0.0,447,27,28,0,SVM,100,7,6
0.5087,0.0574,0.3571,0.0465,0.0823,269,205,18,10,SVM+ (LUQPI),100,7,6
0.7511,0.1442,0.2143,0.1579,0.1818,442,32,22,6,SVM,100,8,6
0.743,0.1484,0.8214,0.0962,0.1723,258,216,5,23,SVM+ (LUQPI),100,8,6
0.6429,0.0809,0.1071,0.0938,0.1,445,29,25,3,SVM,100,9,6
0.6253,0.0769,0.5714,0.0758,0.1339,279,195,12,16,SVM+ (LUQPI),100,9,6
0.7621,0.1453,0.0,0.0,0.0,469,5,28,0,SVM,200,0,11
0.6869,0.0958,0.6429,0.0905,0.1586,293,181,10,18,SVM+ (LUQPI),200,0,11
